"","X","date","Alabama","Alaska","Arizona","Arkansas","California","Colorado","Connecticut","Delaware","District.of.Columbia","Florida","Georgia","Guam","Hawaii","Idaho","Illinois","Indiana","Iowa","Kansas","Kentucky","Louisiana","Maine","Maryland","Massachusetts","Michigan","Minnesota","Mississippi","Missouri","Montana","Nebraska","Nevada","New.Hampshire","New.Jersey","New.Mexico","New.York","North.Carolina","North.Dakota","Northern.Mariana.Islands","Ohio","Oklahoma","Oregon","Pennsylvania","Puerto.Rico","Rhode.Island","South.Carolina","South.Dakota","Tennessee","Texas","Utah","Vermont","Virgin.Islands","Virginia","Washington","West.Virginia","Wisconsin","Wyoming"
"128",128,"1",498,13,501,261,2198,341,271,75,86,651,650,1,3,39,1516,643,226,60,197,213,52,1292,675,400,483,328,191,4,285,97,103,1187,112,1758,829,42,0,476,41,46,666,89,141,165,83,403,1715,243,3,0,1150,266,36,690,16
"129",129,"1",501,6,702,239,2972,486,203,65,46,1212,525,0,2,34,1666,514,347,313,178,0,37,1297,617,645,584,418,134,8,394,128,103,1029,129,1549,1119,39,0,651,68,46,761,161,141,343,73,436,1253,329,1,0,1132,286,37,574,15
"130",130,"1",328,5,790,236,3057,482,260,186,179,927,448,0,2,36,1496,665,317,21,199,775,56,1031,789,259,659,439,169,12,251,144,53,764,131,1363,1026,34,0,468,80,52,716,71,184,263,94,477,1323,269,2,1,1078,241,17,465,7
"131",131,"1",593,28,681,240,3014,280,179,76,84,739,715,3,1,15,1298,365,285,31,50,339,43,794,664,507,660,272,179,10,196,109,106,837,65,1104,925,23,0,479,88,58,429,58,109,467,33,156,1578,278,4,0,996,196,21,169,5
"132",132,"1",582,7,187,190,2529,199,539,107,56,667,706,0,0,53,1078,255,168,225,213,431,24,579,3840,1080,358,251,226,4,244,73,34,473,111,945,682,48,0,471,67,60,516,97,63,287,41,410,1107,197,2,0,790,458,18,141,7
"133",133,"1",237,21,1127,375,2438,211,239,80,29,617,306,2,1,27,1578,445,228,40,137,405,28,796,358,245,300,268,299,4,266,157,64,627,224,1361,684,21,1,366,119,35,581,62,121,267,32,1256,1885,211,5,0,836,336,28,398,2
"134",134,"1",80,19,995,249,2326,272,112,27,130,1317,648,0,0,55,1035,480,359,138,198,387,41,786,429,310,363,302,198,2,255,92,46,523,116,1043,961,33,1,442,113,61,556,88,107,236,95,526,1580,321,2,1,665,168,21,673,3
"135",135,"1",221,26,573,358,2510,300,148,34,104,1419,817,2,1,64,870,396,567,51,296,429,28,873,471,225,403,238,266,12,251,168,81,462,213,1053,1263,27,2,490,102,76,557,485,106,354,86,350,1784,300,36,0,950,223,25,463,6
"136",136,"1",315,23,1551,226,3593,255,221,27,79,1305,752,0,9,57,1168,494,389,161,270,427,36,917,494,4529,707,209,229,2,262,188,77,806,319,1042,1141,39,0,476,97,110,480,112,116,448,30,425,1993,486,1,0,674,547,17,364,12
"137",137,"1",656,14,1148,450,2637,233,358,72,70,1270,663,0,8,28,934,429,195,24,308,497,42,692,575,452,521,265,144,1,164,188,66,557,128,1083,1392,71,0,353,56,87,599,295,0,463,90,560,1754,522,19,0,859,221,17,274,6
"138",138,"1",457,9,1407,325,2850,153,150,97,63,1180,428,0,2,14,819,400,267,32,34,330,46,494,304,419,385,236,326,5,91,179,24,271,140,777,854,45,1,365,91,137,494,70,0,370,71,452,871,218,17,0,1283,297,8,249,8
"139",139,"1",425,19,837,314,2290,182,124,30,57,966,624,1,1,44,1473,225,317,175,308,236,18,431,190,296,338,498,174,3,118,142,36,333,122,712,918,19,1,361,55,118,431,61,201,514,33,406,1378,294,12,0,568,529,17,217,13
"140",140,"1",497,13,635,340,2958,164,87,48,85,1096,774,0,6,29,778,432,160,62,190,562,18,519,263,279,299,341,237,6,136,231,53,299,43,690,812,21,2,325,158,100,532,139,49,428,52,648,1945,261,9,1,487,203,18,275,10
"141",141,"1",567,22,1585,288,2894,151,168,36,63,1371,696,0,3,36,568,312,462,145,138,418,31,571,267,187,366,374,266,7,137,170,46,550,145,664,912,40,0,413,116,72,446,144,65,531,81,514,2500,343,11,0,437,144,14,2353,10
"142",142,"1",856,24,1544,448,3570,148,114,50,52,1698,867,3,7,41,842,417,370,53,99,442,30,709,511,250,447,0,262,2,290,248,31,470,118,724,1430,39,0,429,146,153,534,23,106,682,61,387,2001,384,15,0,469,232,24,320,29
